Name,Content,Rating
Ajit Karve,I passed the road. I have shared photos to help visitors locate the place. It is a well known landmark in the area. There are parking restrictions and road is busy during school hours. ,5 stars
RAMESH GHADIYARAM,Very Good School and Very Affecient Principal. Very Friendly office Staff and Qualified Teaching Staff. Good Education as well as over all development for the students is the moto of the School. Campus is in the heart of the city with a Sports center in the Campus. Very Healthy Environment for the Students to get Proper Education. ,5 stars
BUSINESS RAJE,I agree with u raj I have also see daily symbiosis maruti van carrying 18 to 20 small kids near  bhosale Nagar Range Hill side . School should look in this matter . ,1 star
Raj Raj,School is too good but wth worst transport system for children. Management should take care or start own transport system . ,5 stars
Arp K,I am from the 1998 batch. All the alumni from my batch and around that are doing well. ,5 stars
jojowastakenbyaliens,This is overall a good school.The parking is an issue . The Classes are spacious and clean.There are lots of well behaved and disciplined students.Teachers are very good.Would highly recommed for you to put your child into this school. ,5 stars
Manish Marathe,Good school. Conducted online classes during pandemic and everything went on smoothly. They share activities and worksheets regularly and ensure no knowledge gap. ‚?¶  More,5 stars
crystal plaz,As a student from symbiosis I wanna say this is the best school I have ever went to I love symbiosis a lot the teachers here are really nice and great it provides food in school and the food is really good you should send your children to this school ,5 stars
aparna pednekar,"A crass, indiscipled nuicance of a 'school' in a peaceful residence area, where film songs are played on loudspeaker every morning. Noise pollution in the name of education. ",1 star
Subha Pratik Satapathy,"Small campus, landlocked and no playing ground. It's the first campus of Symbiosis and has been growing ever since. Given its proximity to symbi hill one gets to go for treks every evening. Situated in the centre of the city one has a quick ‚?¶  More",4 stars
suruchi jaju,This is the best school ever... Everything here is perfect.. The teachers are very very helpful and the rest of thr staff is also very helpful.. The teaching quality is amazing.. You also get lunch here.. And the drinking water available is ‚?¶  More,5 stars
mandobi chowdhury,"Symbiosis Law School is a premier institution, holding its pride for more than 35 years now. The facilities have goes high with the inauguration of the new campus at Viman Nagar, Pune. Symbiosis had come up with magnificent beautiful campus ‚?¶  More",5 stars
veena kshirsagar,"best school, best disipline! ",5 stars
Saurav Singhania (Srv),Auditorium is good. But Parking is a big issue. ,4 stars
Ranjit Bhosale,Co-ed school. A little short on space. But excellent values when it comes to schooling children. All classes till 10th std. ,5 stars
Aditya Kapur,"The very first symbiosis campus, symbi hill is awesome ..??ç
Auditorium is good ...
Need more space for parking. ‚?¶ ",4 stars
Karan V,Passes out of here 10 years back was one of the best schools and some of the best teachers back then ,4 stars
Pradip Kadam,"Very good academics, sports and training staff for all round development of students. ",5 stars
Vinod Vathare,"Their is only doing Monoply & Exploitation Of Marathi Person,
Current management does not following any principles Of Muzumdar Sir's. ",2 stars
Abhishek Kumar,Symbiosis College of Arts and Commerce (Best College in Pune in Commerce) is part of this Society. ,4 stars
